leaf_categ_id,LEAF_CATEG_NAME
481,Toys & Hobbies:Model Railroads & Trains:O Scale:Lionel:Other
484,Toys & Hobbies:Model Railroads & Trains:HO Scale:Other HO Scale
485,Toys & Hobbies:Model Railroads & Trains:O Scale:Other O Scale
486,Toys & Hobbies:Model Railroads & Trains:N Scale:Other N Scale
487,Toys & Hobbies:Model Railroads & Trains:Other Model Railroads & Trains
495,Business & Industrial:Retail & Services:Jewelry Packaging & Display:Other Retail Jewelry Packaging
519,"Home & Garden:Yard, Garden & Outdoor Living:Gardening Supplies:Other Gardening Supplies"
616,Books:Catalogs:Other Catalogs
617,DVDs & Movies:DVDs & Blu-ray Discs
629,Cameras & Photo:Film Photography:Darkroom & Developing:Other Darkroom & Developing
630,Sporting Goods:Golf:Other Golf
632,Home & Garden:Tools & Workshop Equipment:Power Tools:Other Power Tools
633,"Business & Industrial:CNC, Metalworking & Manufacturing:CNC & Metalworking Supplies:Other CNC & Metalworking Supplies"
719,"Toys & Hobbies:Electronic, Battery & Wind-Up:Battery Operated:Pre-1970"
720,Toys & Hobbies:Vintage & Antique Toys:Cap Guns:Other Vintage Cap Guns
721,Toys & Hobbies:Vintage & Antique Toys:Cast Iron
722,Toys & Hobbies:Vintage & Antique Toys:Celluloid
723,Toys & Hobbies:Vintage & Antique Toys:Character
724,Toys & Hobbies:Building Toys:Meccano & Erector Sets:Pre-1980
725,Toys & Hobbies:Vintage & Antique Toys:Paper Toys
726,Toys & Hobbies:Outdoor Toys & Structures:Pedal Cars:Pre-1970
727,Toys & Hobbies:Vintage & Antique Toys:Play Sets
728,Toys & Hobbies:Vintage & Antique Toys:Pull Toys
729,Toys & Hobbies:Preschool Toys & Pretend Play:Puppets:Pre-1970
730,Toys & Hobbies:Puzzles:Vintage Puzzles:Other Vintage Puzzles
732,Toys & Hobbies:Outdoor Toys & Structures:Ride-Ons & Tricycles:Pre-1970
733,"Toys & Hobbies:Robots, Monsters & Space Toys:Space Toys:Pre-1970"
734,Toys & Hobbies:Toy Soldiers:Pre-1970
736,Toys & Hobbies:Vintage & Antique Toys:Tin:Other Vintage Tin Toys
739,Toys & Hobbies:Diecast & Toy Vehicles:Other Vehicles (Pre-1970)
740,Toys & Hobbies:Diecast & Toy Vehicles:Construction Equipment:Vintage Manufacture
741,Toys & Hobbies:Diecast & Toy Vehicles:Farm Vehicles:Vintage Manufacture
742,Toys & Hobbies:Diecast & Toy Vehicles:Motorcycles & ATVs:Vintage Manufacture
745,"Toys & Hobbies:Diecast & Toy Vehicles:Cars, Trucks & Vans:Other Materials:Vintage Manufacture (Pre-1970)"
746,"Toys & Hobbies:Action Figures:TV, Movie & Video Games:Babylon 5"
747,"Toys & Hobbies:Robots, Monsters & Space Toys:Monsters:Godzilla"
749,"Toys & Hobbies:Action Figures:TV, Movie & Video Games:Power Rangers"
750,"Toys & Hobbies:Action Figures:TV, Movie & Video Games:Star Trek:Other"
751,"Toys & Hobbies:Action Figures:TV, Movie & Video Games:Star Wars:Other"
753,Toys & Hobbies:Action Figures:Transformers & Robots:Transformers:Other
754,Toys & Hobbies:Action Figures:Sports
756,"Toys & Hobbies:TV, Movie & Character Toys:Teletubbies"
762,"Toys & Hobbies:Diecast & Toy Vehicles:Cars: Racing, NASCAR:NASCAR"
766,"Toys & Hobbies:Diecast & Toy Vehicles:Cars: Racing, NASCAR:NHRA"
767,Toys & Hobbies:Fast Food & Cereal Premiums:Fast Food
772,Toys & Hobbies:Marbles:Pre-1970:Hand Made
773,"Toys & Hobbies:TV, Movie & Character Toys:Peanuts Gang"
774,Toys & Hobbies:Models & Kits:Other Models & Kits
776,Toys & Hobbies:Slot Cars:Other Slot Cars
779,Dolls & Bears:Bears:Raikes
781,Toys & Hobbies:Stuffed Animals:Warner Bros.
793,Sporting Goods:Fishing:Vintage:Other Vintage Fishing
794,Sporting Goods:Outdoor Sports:Fishing:Vintage:Lures:Other:
905,Crafts:Stamping & Embossing:Other Stamping & Embossing
953,Crafts:Needlecrafts & Yarn:Cross Stitch & Hardanger:Other Cross Stitch Supplies
954,Crafts:Needlecrafts & Yarn:Crocheting & Knitting:Other Crocheting & Knitting
957,"Clothing, Shoes & Accessories:Vintage:Vintage Accessories:Other Vintage Accessories"
960,"Clothing, Shoes & Accessories:Vintage:Vintage Accessories:Women's Hats:Other Women's Vintage Hats"
1033,"Dolls & Bears:Dolls:By Brand, Company, Character:Ashton Drake:Gene"
1034,"Dolls & Bears:Dolls:By Brand, Company, Character:Holly Hobbie"
1035,"Dolls & Bears:Dolls:By Brand, Company, Character:Vogue:Other Vogue Dolls"
1037,Toys & Hobbies:Beanbag Plush:Ty:Other Ty Beanbag Plush
1041,"Toys & Hobbies:Electronic, Battery & Wind-Up:Wind-Up, Walking Toys:1970-Now"
1042,Toys & Hobbies:Diecast & Toy Vehicles:Other Vehicles (1970-Now)
1048,Sporting Goods:Outdoor Sports:Equestrian:Other Equestrian
1060,"Clothing, Shoes & Accessories:Men's Accessories:Other Men's Accessories"
1063,"Clothing, Shoes & Accessories:Women's Accessories:Other Women's Accessories"
1067,"Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Clothing (Sizes 4 & Up):Other Boys' Clothes Sizes 4+"
1068,"Clothing, Shoes & Accessories:Children's Clothing & Shoes:Girls-Clothing (Sizes 4-16+):Other"
1070,"Clothing, Shoes & Accessories:Baby & Toddler Clothing:Other Baby & Toddler Clothing"
1083,"Toys & Hobbies:Electronic, Battery & Wind-Up:Electronic & Interactive:Furby"
1084,"Toys & Hobbies:Electronic, Battery & Wind-Up:Electronic & Interactive:Tamagotchi"
1093,Books:Children & Young Adults
1168,Toys & Hobbies:Action Figures:Military & Adventure:GI Joe:12-inch:1980-Now:
1169,Toys & Hobbies:Action Figures:By Brand:Mego
1170,Toys & Hobbies:Action Figures:Sports:Wrestling
1172,"Toys & Hobbies:Diecast & Toy Vehicles:Cars, Trucks & Vans:Diecast-Vintage Manufacture:Hot Wheels: Redline (Pre-1978):"
1177,Toys & Hobbies:Games:Board & Traditional Games:Horror & Monster Games
1178,Toys & Hobbies:Games:Board & Traditional Games:Movie & TV Games:1990-Now
1179,Toys & Hobbies:Games:Board & Traditional Games:Space Games
1180,Toys & Hobbies:Games:Board & Traditional Games:Sports Games:1990-Now
1182,Toys & Hobbies:Games:Electronic:Other
1183,Toys & Hobbies:Games:Role Playing Games:Other Role Playing Games
1185,"Toys & Hobbies:Electronic, Battery & Wind-Up:Battery Operated:1970-1989"
1186,Toys & Hobbies:Building Toys:LEGO:Other LEGO
1187,"Toys & Hobbies:Robots, Monsters & Space Toys:Space Toys:1970-Now"
1189,Toys & Hobbies:Models & Kits:Aircraft (Non-Military)
1190,Toys & Hobbies:Models & Kits:Automotive:Other Automotive Models & Kits
1191,Toys & Hobbies:Models & Kits:Military:Other Military Models & Kits
1192,Toys & Hobbies:Models & Kits:Monster
1193,Toys & Hobbies:Models & Kits:Science Fiction:Other Sci-Fi Models & Kits
1194,Toys & Hobbies:Models & Kits:Spacecraft
1195,"Toys & Hobbies:TV, Movie & Character Toys:Garfield"
1196,Toys & Hobbies:Fast Food & Cereal Premiums:Other Fast Food & Cereal Toys
1197,Toys & Hobbies:Preschool Toys & Pretend Play:Wooden & Handcrafted Toys
1198,Toys & Hobbies:Vintage & Antique Toys:Toy Parts
1200,Toys & Hobbies:Radio Control & Control Line:Radio Control Vehicles:Other Radio Control Vehicles
1201,Dolls & Bears:Dolls:Doll Furniture & Play Accessories:Modern Doll Furniture & Play Accs
1203,Dolls & Bears:Dollhouse Miniatures:Miniatures:Vintage (Pre-1970):Other
1204,"Dolls & Bears:Dolls:By Brand, Company, Character:Rainbow Brite:Contemporary"
1205,Dolls & Bears:Dolls:Doll Making & Repair:Patterns:Other Patterns
1206,Dolls & Bears:Dolls:By Type:Trolls:Modern (1975-Now)
1244,Computers/Tablets & Networking:Computer Components & Parts:Motherboards
1245,"Computers/Tablets & Networking:Printers, Scanners & Supplies:Printers"
1246,"Computers & Networking:Printer Parts, Supplies & Accs:Other"
1248,Computers & Networking:Software:Children's Software:Other
1261,Baby:Other Baby
1264,"Clothing, Shoes & Accessories:Women's Clothing:Maternity:Other Maternity Clothing"
1265,"Clothing, Shoes & Accessories:Wedding & Formal Occasion:Other Wedding & Formal Wear"
1267,Business & Industrial:MRO & Industrial Supply:Other MRO & Industrial Supply
1268,Business & Industrial:Building Materials & Supplies:Other Building Materials
1269,Business & Industrial:Agriculture & Forestry:Other Agriculture & Forestry
1271,Business & Industrial:Restaurant & Catering:Other Restaurant & Catering
1277,Health & Beauty:Other Health & Beauty
1278,"Health & Beauty:Vitamins & Dietary Supplements:Endurance & Energy Bars, Drinks & Pills"
1279,Health & Beauty:Natural & Alternative Remedies:Other Natural Remedies
1280,Home & Garden:Other Home & Garden
1282,Home & Garden:Bath:Other
1283,Pet Supplies:Dog Supplies:Other
1284,Pet Supplies:Cat Supplies:Other Cat Supplies
1285,Pet Supplies:Reptile Supplies
1290,Business & Industrial:Material Handling:Packaging & Shipping:Other Packaging & Shipping
1291,Sporting Goods:Outdoor Sports:Archery:Other Archery
1292,Sporting Goods:Indoor Games:Billiards:Other Billiards
1299,Sporting Goods:Outdoor Sports:Climbing & Caving:Other Climbing & Caving
1300,Sporting Goods:Water Sports:SCUBA & Snorkeling:Other SCUBA & Snorkeling
1301,Sporting Goods:Outdoor Sports:Inline & Roller Skating:Other Inline & Roller Skating
1302,Sporting Goods:Winter Sports:Downhill Skiing:Other Downhill Skiing
1303,Sporting Goods:Winter Sports:Other Winter Sports
1304,Business & Industrial:Office:Trade Show Displays:Other Trade Show Displays
1347,Dolls & Bears:Bears:Boyds
1363,Crafts:Needlecrafts & Yarn:Needlepoint & Plastic Canvas:Other Needlepoint Supplies
1364,Crafts:Home Arts & Crafts:Decorative & Tole Painting:Other Tole Painting Supplies
